S11, S12, S21, S22 (Re + jIm format)
440.000000000000000000 MHz,-0.60994801284077881931 + j0.78482488507369163599 ,-0.00053060435176649425 + j0.00031507478948576614 ,0.14843036224729505568 - j0.34450258223951091274 ,-0.62081998882561084674 + j0.77622721333843447411 
450.000000000000000000 MHz,-0.57788064956399320948 + j0.80676281546774020192 ,-0.00065632762930881486 + j0.00042525621254311234 ,0.16470006284860347345 - j0.44309347618897959586 ,-0.59005377136267989080 + j0.79788920561535825460 
460.000000000000000000 MHz,-0.54192560344252416193 + j0.82886011712729557033 ,-0.00081085219238139937 + j0.00057717722028834703 ,0.17703022283381589230 - j0.57139850560998128870 ,-0.55553122612523353485 + j0.81980612893449311684 
470.000000000000000000 MHz,-0.50124242631073323562 + j0.85090356218744933603 ,-0.00099965958020436780 + j0.00078855716835982441 ,0.18051947660587747135 - j0.73914387634025113805 ,-0.51641365666063498985 + j0.84180507145831329208 
480.000000000000000000 MHz,-0.45473765204319593902 + j0.87251411608225803995 ,-0.00122782939318136458 + j0.00108565034617290486 ,0.16657777733135503695 - j0.95942562566813593961 ,-0.47159930440061104129 + j0.86356087944209880547 
490.000000000000000000 MHz,-0.40097646530964425882 + j0.89302614980391237243 ,-0.00149794102757034144 + j0.00150781285068669218 ,0.12017175009815020403 - j1.24970918453706070217 ,-0.41962595036099237245 + j0.88447894376730240573 
500.000000000000000000 MHz,-0.33807095257851582648 + j0.91126812401908696692 ,-0.00180512763152531155 + j0.00211455206146579254 ,0.01487828818329319305 - j1.63265431300991914476 ,-0.35854286973485061107 + j0.90347842447715265290 
510.000000000000000000 MHz,-0.26356471496370803553 + j0.92515547725935975976 ,-0.00212576533016297546 + j0.00299593881223286914 ,-0.19604616529076140941 - j2.13565727776011993200 ,-0.28576641474601682802 + j0.91858232285918117732 
520.000000000000000000 MHz,-0.17440656672755272538 + j0.93092638609230571323 ,-0.00239202432261496813 + j0.00428599336361740191 ,-0.59556668435719450905 - j2.78571474196922341804 ,-0.19800357316946592956 + j0.92613267820535538632 
530.000000000000000000 MHz,-0.06734159493464120239 + j0.92173439675474033717 ,-0.00243597509777146405 + j0.00617190084739452881 ,-1.32936253566998230369 - j3.58992588197795203797 ,-0.09156438183191595304 + j0.91931159385008986984 
540.000000000000000000 MHz,0.05926446336038249108 + j0.88531925529640087547 ,-0.00187510814744342173 + j0.00886576415771878068 ,-2.64041828711780279804 - j4.47644935210152272731 ,0.03590038406615447819 + j0.88560858690752131128 
550.000000000000000000 MHz,0.19957146323621421935 + j0.80159718019102932374 ,0.00007396681301875763 + j0.01242563326694504089 ,-4.86986688941777501327 - j5.14463848446449301122 ,0.17947756564069972107 + j0.80393017301851465994 
560.000000000000000000 MHz,0.32684067161504892773 + j0.64670175653565264984 ,0.00466530560670719383 + j0.01617599146153837764 ,-8.24390378768803167020 - j4.80194695439306773466 ,0.31274634115491073416 + j0.64790609506465390854 
570.000000000000000000 MHz,0.38201569668745949393 + j0.42131155835654982011 ,0.01272125668336497074 + j0.01778258300364736824 ,-12.12414459745021311221 - j2.16644058120385896160 ,0.37393963488376269488 + j0.41464003318750797256 
580.000000000000000000 MHz,0.31439416826201904698 + j0.19489636619113198668 ,0.02219152331150955892 + j0.01406428858057674584 ,-14.36108960618904006878 + j3.18799110682610598033 ,0.30528418109360311306 + j0.17370418542994484068 
590.000000000000000000 MHz,0.16705179440059580998 + j0.05937336377007895044 ,0.02841593921066333170 + j0.00516650827493362556 ,-13.14114246588342993505 + j9.25684753365758794530 ,0.14539968650004309048 + j0.02489947477126364106 
600.000000000000000000 MHz,0.03306127875471931432 + j0.01643499125464927685 ,0.02928913757547542060 - j0.00503357627329083235 ,-9.24160874872341508990 + j13.59683855916910921735 ,-0.00812465342584389738 - j0.02227991108256261940 
610.000000000000000000 MHz,-0.05333660979757104403 + j0.00723628628260158339 ,0.02618556409661155701 - j0.01358166648829051831 ,-4.46215933406915254977 + j15.59414737046987475821 ,-0.11394497625399224727 - j0.02571977111180572678 
620.000000000000000000 MHz,-0.11021591296509403168 - j0.00767510937568189906 ,0.02096713545222314221 - j0.01965582063772371504 ,0.09179235134945656904 + j15.70732992635913838342 ,-0.18582796858063199696 - j0.02755026894735792056 
630.000000000000000000 MHz,-0.16357740016997091015 - j0.03542953769686988524 ,0.01487303453631992969 - j0.02330031726304710588 ,3.93545365304354355374 + j14.49193204222615882770 ,-0.24785733441532420418 - j0.03813039636039590452 
640.000000000000000000 MHz,-0.22825241555384623293 - j0.06614032857568502566 ,0.00874807425770460223 - j0.02476981515765045924 ,6.84344595030767166577 + j12.42458654245100646563 ,-0.31445773458056591743 - j0.05071364824454263620 
650.000000000000000000 MHz,-0.30580357168789684685 - j0.08677397009626730551 ,0.00322784496094106425 - j0.02446692971324603005 ,8.74734784853191094101 + j9.94622344165632910062 ,-0.38808520336598373301 - j0.05497208659848524387 
660.000000000000000000 MHz,-0.38929855616951170028 - j0.08922959114020656557 ,-0.00128947737310569632 - j0.02292873625300908061 ,9.73350816684968478398 + j7.43996236604302829676 ,-0.46363365015054114338 - j0.04454349389266568093 
670.000000000000000000 MHz,-0.46977617426666795630 - j0.07239862305808641985 ,-0.00468049002421895045 - j0.02071216288458246554 ,10.00192981937517266999 + j5.17163593114971220643 ,-0.53419485067255600974 - j0.01886721685549133318 
680.000000000000000000 MHz,-0.54063468593415975327 - j0.04002001301346183593 ,-0.00703921969955356806 - j0.01826821744959532604 ,9.78716211809542890876 + j3.26941362027386928091 ,-0.59482823865773992722 + j0.01868765343428975545 
690.000000000000000000 MHz,-0.59883764687176133101 + j0.00249584358622868731 ,-0.00856780466827521126 - j0.01588934970373808223 ,9.29364814460010180142 + j1.75364824678529429569 ,-0.64353053144871341651 + j0.06351440405361642727 
700.000000000000000000 MHz,-0.64413943057344114074 + j0.05021433644490656129 ,-0.00948511907337248536 - j0.01372665372013161071 ,8.66931029828979404783 + j0.58434506227437177373 ,-0.68053744642325675329 + j0.11153196413933584574 
710.000000000000000000 MHz,-0.67783331740671781684 + j0.09949653801161488509 ,-0.00997888478783966019 - j0.01183487136893229992 ,8.00778187014446629632 - j0.30064020963653886875 ,-0.70726054179382069620 + j0.15981468686513197741 
720.000000000000000000 MHz,-0.70178266666102573357 + j0.14800588167271300222 ,-0.01019191024624934924 - j0.01021448656406837192 ,7.36201830663064082927 - j0.96378406918924330871 ,-0.72548879093875617841 + j0.20655177319712705875 
730.000000000000000000 MHz,-0.71787005303970985448 + j0.19441090089574883382 ,-0.01022558256561124576 - j0.00884062773117962400 ,6.75842991817482197092 - j1.45869163043494221021 ,-0.73695046923035989472 + j0.25077090632580295582 
740.000000000000000000 MHz,-0.72775436121561765113 + j0.23805895021668446732 ,-0.01014893273062389238 - j0.00767972273856211505 ,6.20762856938047136168 - j1.82792839821769437236 ,-0.74313224190018578597 + j0.29205243358417248833 
750.000000000000000000 MHz,-0.73280151728463338578 + j0.27871805844738700708 ,-0.01000772672113638823 - j0.00669788005123170879 ,5.71150520252713889136 - j2.10393593316546212435 ,-0.74523891299456379578 + j0.33030946453120080264 
760.000000000000000000 MHz,-0.73409612773663512897 + j0.31639917332747341527 ,-0.00983174410442635982 - j0.00586450044014649903 ,5.26751813365797261213 - j2.31091198600802982810 ,-0.74421584374651450489 + j0.36563966095956274005 
770.000000000000000000 MHz,-0.73248285088040399060 + j0.35124286333001120131 ,-0.00964005760713401195 - j0.00515341995521864920 ,4.87114670343631050997 - j2.46671904265719987848 ,-0.74079216374734069284 + j0.39823274048197609964 
